Station	Site_code	Environ_Loc_Code	Drainage_area_km2	Discharge	NH3	NO2_NO3	Total_nutrients	Latitude	Longitude	CWC_basin	Independent_river	BasinId
Jenapur	EB000G6	HO_236	33955	329	3	292	285	20.88	86.02	Brahmani and Baitarni	Brahmani	Brahmani_Baitarni
Musiri	CC000G4	HO_35	66243	497	172	372	227	10.94	78.43	Cauvery	Cauvery	Cauvery
Polavaram	AG000C3	HO_165	307800	738	669	669	24	17.24	81.65	Godavari	Godavari	Godavari
Vijayawada	AK000B9	HO_190	251360	950	684	691	678	16.52	80.59	Krishna	Krishna	Krishna
Tikarapara	EM000G5	HO_315	124450	268	2	268	264	20.6	84.78	Mahanadi	Mahanadi	Mahanadi
Ghatsila	ES000K7	HO_223	14176	289	1	269	268	22.59	86.46	Subernarekha	Subernarekha	Subernarekha
Mandleshwar	010215026	HO_417	72809	433	183	344	0	22.17	75.66	Narmada	Narmada	Narmada
Urachikottai	CC000K5	HO_72	44100	528	170	233	207	11.48	77.7	Cauvery	Cauvery	Cauvery
