Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1990	Musiri	32.8879493521746	688.023453894712	264.0722903	223.8541452	348.257321875	295.019072875	13	1	2	0	2	0	7	0	7	0	127.69598	38.81702	0	13.59019	0	0	13.59019	0	0	66.69095	17.43811	0	66.69095	17.43811	0	23.62618	0	0	13.59019	0	0	55.04132	17.43811	0	31.0283	17.43811	0	24.6113029804765	24.6315286075269	24.4562763655914	24.4742572741935	24.511870344086	2535.85966852398	7.83828797827051	2813.96826852398	7.94235096132219	7829.47	11.3796556726076	0.171786538541545
1991	Musiri	74.6060569946797	1042.49211820019	505.57884187	331.12697567	565.97164247	459.38191547	21	5	11	1	8	0	12	2	10	2	398.42508	303.34798	196.10519	172.91426	146.54406	39.30127	101.74652	90.25835	0	228.34988	188.69908	98.44073	211.6969	172.0461	98.44073	193.77471	161.42609	39.30127	112.21089	90.25835	0	216.86171	188.69908	98.44073	200.20873	172.0461	98.44073	24.7180651897214	24.5494982903226	24.3265079426523	24.2980728319892	24.3398602275986	2551.42895649034	7.84440885629523	2834.89849649034	7.94976141181377	7829.47	7.51033975539037	0.113375598257784
1992	Musiri	127.975520970863	923.29430478528	518.3406542	360.9930959	493.3246461	370.9512567	23	3	13	1	9	1	12	1	10	0	295.15827	205.7696	0	148.06554	111.0039	0	115.32703	78.26539	0	145.79194	96.19705	0	121.27825	71.68336	0	190.39318	111.0039	24.51369	126.13634	78.26539	24.51369	134.22394	80.80718	24.51369	85.29843	56.29349	0	24.467291982832	24.7116012016129	24.4371972688172	24.3546677953629	24.3506692110215	2672.08301089355	7.89061360112515	2960.91349089355	7.99325311149564	7835.93	8.48692552243384	0.12811807319164
1993	Musiri	109.923138444772	933.46372496085	378.69990181	279.0808469	508.43253098	430.24317148	21	3	7	0	3	0	10	1	10	1	314.93925	211.70666	54.50251	100.1776	49.79043	0	46.52386	33.80924	0	143.8205	105.72816	0	143.8205	105.72816	0	100.1776	49.79043	0	46.52386	33.80924	0	143.8205	74.31153	0	118.70486	40.50229	0	24.5197997508122	24.7605849650538	24.4782823978495	24.3720374233871	24.3238134462366	2786.71228991263	7.93261778925484	3080.90370991263	8.03297824523994	7865.97	8.42664775251968	0.127208123915277
1994	Musiri	217.965837070674	958.499247351772	338.31945484	275.22761304	566.45025964	429.38046494	24	6	5	1	5	1	17	4	13	4	348.67532	247.56068	60.47071	52.55435	52.55435	0	52.55435	52.55435	0	226.35449	162.69488	34.66619	194.63322	130.97361	34.66619	73.69496	52.55435	0	63.28595	52.55435	0	215.13546	147.04717	34.66619	159.15496	114.95845	34.66619	24.4810042331967	24.6602556586021	24.4889353225806	24.4321443044355	24.5343176747312	3014.63905549747	8.01123538574181	3314.19141549747	8.10596895597372	7865.97	8.20654791512128	0.123885511150179
1995	Musiri	150.161132588159	782.6013307577	411.99842245	349.1430708	489.9492526	361.1007796	13	0	6	0	6	0	9	0	6	0	156.96907	37.23194	0	66.51789	17.33747	0	66.51789	17.33747	0	115.3392	37.23194	0	77.94946	37.23194	0	77.21214	31.27507	0	77.21214	17.33747	0	103.8238	37.23194	0	66.15878	37.23194	0	24.5658020463067	24.8085512446237	24.3776717706093	24.380434531082	24.4337288371416	3114.74545490639	8.04390271196172	3419.65875490639	8.13729604581123	7865.97	10.0510562541266	0.151730088524472
1996	Musiri	146.55112350848	914.0167684554	485.5902097829	356.678120154	503.390538449	432.603361295	21	3	12	2	9	1	15	1	15	1	273.55478	198.42955	25.24765	154.09077	102.34292	25.24765	113.05458	61.30673	0	182.22419	118.41491	0	182.22419	118.41491	0	185.9782	116.75117	49.20404	124.09883	75.71498	23.95639	170.57875	118.41491	23.95639	145.88556	118.41491	0	24.3395760508879	24.3838723172043	24.1225867562724	23.9940146765793	23.8578275257616	3266.63321327469	8.09151513510384	3576.90745327469	8.18225386620267	7869	8.60925124305744	0.129964694277998
1997	Musiri	233.234589119728	990.34059763209	459.673279782	391.2995111	569.5360456	439.1047029	19	1	8	0	8	0	13	0	10	0	238.83204	112.27576	0	88.1633	39.21126	0	88.1633	39.21126	0	163.68712	74.56826	0	140.81175	74.56826	0	109.11292	53.59412	0	99.00203	53.59412	0	140.81175	74.56826	0	117.41196	57.58768	0	24.8395126090793	25.2824496827957	24.854529688172	24.831107969254	24.8373578299731	3456.88927803665	8.14812441107103	3772.52445803665	8.23549967386463	7869	7.9457512080337	0.119948541099191
1998	Musiri	235.082014747781	959.030509622149	518.64323847	467.0671961	593.067416285	427.239715285	20	5	10	4	10	4	11	4	7	2	296.17814	201.68928	52.18266	162.19493	109.80125	26.46214	162.19493	109.80125	26.46214	162.19493	109.80125	26.46214	103.16198	64.99901	26.46214	172.35352	138.31669	50.40629	162.19493	109.80125	50.40629	150.58252	109.80125	50.40629	79.28374	48.64893	26.46214	25.1541021164852	25.1378483037634	24.6049589605735	24.4807973454301	24.3786211917563	3600.21551349067	8.18874898751089	3921.21163349067	8.27415597520217	7869	8.20516127594348	0.123864578535747
1999	Musiri	225.408058457705	977.132045925141	299.76779748	242.5579719	600.1486169	509.49628852	25	6	4	0	4	0	20	4	19	4	407.75001	251.51792	29.61614	57.63995	19.79422	0	57.63995	19.79422	0	309.54885	178.8843	0	295.05385	178.8843	0	57.63995	34.28922	0	57.63995	34.28922	0	286.75693	163.13609	0	235.62247	163.13609	0	24.5557870349815	24.9056876048387	24.8579062508961	24.702749063172	24.7299335896057	3675.96913661006	8.20957208752359	4002.32619661006	8.29463102022036	7869	8.05315927649235	0.121569966283114
2000	Musiri	334.645499223794	986.152279923147	533.33697828	458.10009168	632.07788075	574.09111107	23	6	13	3	13	3	19	4	18	4	381.87598	320.88482	85.08996	208.66418	160.40876	57.35859	208.66418	160.40876	57.35859	312.64515	251.65399	57.35859	300.04058	251.65399	57.35859	219.33248	160.40876	57.35859	219.33248	160.40876	57.35859	301.57543	204.8025	57.35859	251.65399	172.50453	57.35859	24.5282026877086	24.5110059677419	24.3618500681004	24.2981975510753	24.2626232939068	3462.72379735602	8.14981078302232	3794.44179735602	8.24129259004034	7869	7.97949785261689	0.120457978240975
2001	Musiri	203.522695018282	630.060494162298	289.557743672	241.348571802	343.183769026	282.873929626	11	1	4	0	4	0	5	0	4	0	138.50995	56.357	0	30.64237	15.48046	0	30.64237	15.48046	0	48.51533	33.35342	0	48.51533	33.35342	0	52.28371	30.64237	0	52.28371	30.64237	0	48.51533	17.87296	0	48.51533	17.87296	0	24.7189485694913	24.7938565672043	24.6769070896057	24.5305732859543	24.4476371769713	3586.3902394513	8.18490147129261	3928.7421194513	8.27607458224309	7949.7	12.6173598783869	0.190470840366331
2002	Musiri	100.663479653606	435.3200482289	182.3989192	126.7041675	256.631466	234.9595127	8	0	1	0	1	0	6	0	6	0	95.05461	34.39165	0	11.3527	0	0	11.3527	0	0	67.71432	18.85115	0	67.71432	18.85115	0	11.3527	0	0	11.3527	0	0	45.23472	18.85115	0	45.23472	18.85115	0	24.9260845464673	25.2160741989247	25.0998293763441	25.0185578916331	24.8663706297043	3321.2684132055	8.10810204111752	3674.2541732055	8.20910544498407	7949.7	18.2617364680156	0.275677980586863
2003	Musiri	NA	487.62746506165	207.51356278	155.32886532	318.21006459	257.98502079	5	0	0	0	0	0	5	0	5	0	55.72508	18.98935	0	0	0	0	0	0	0	55.72508	18.98935	0	55.72508	18.98935	0	0	0	0	0	0	0	44.09009	18.98935	0	31.94392	18.98935	0	25.2802344316825	25.4588279166667	25.0136878888889	24.9167802135417	24.8858715750448	3512.44404894715	8.16406738438976	3876.06368894715	8.26257540449257	7949.7	16.3028142785086	0.246106219200649
2004	Musiri	NA	870.921745323	385.7126418	303.26887013	475.858521843	375.825148843	23	2	9	0	8	0	14	1	12	1	225.11402	104.51933	29.44659	90.36202	35.74666	0	75.39727	35.74666	0	104.84386	65.19325	29.44659	90.10046	65.19325	29.44659	123.17336	65.45481	0	108.20861	50.49006	0	104.84386	65.19325	29.44659	65.19325	49.13253	29.44659	24.625502768738	24.5756328225806	24.4904042078853	24.382859640289	24.3181613483423	3808.65142940355	8.24503044992657	4182.90494940355	8.33876124811531	8062.19	9.25707739334257	0.139744235516848
2005	Musiri	NA	1242.94575496663	481.23301103	392.90907293	701.11002863	557.32515733	39	9	12	4	11	4	26	5	23	3	573.14337	388.92181	162.38487	150.92198	109.80402	24.59026	150.92198	109.80402	24.59026	381.00162	235.73831	66.59413	335.7096	190.44629	66.59413	192.82253	124.47821	48.44473	161.59952	124.47821	48.44473	369.71208	220.30591	66.59413	299.20433	125.97594	42.00387	24.7872102954785	24.9081198360215	24.6237184480287	24.5236359453965	24.4469305078405	4367.11920547192	8.38185884999231	4752.00660547192	8.4663222510819	8062.19	6.48635708178307	0.0979176227191261
2006	Musiri	NA	818.515039916	344.3202814	245.4168942	379.3030223	308.2472462	15	2	5	0	4	0	6	0	6	0	166.63684	92.11866	0	57.0566	31.7027	0	44.34981	31.7027	0	69.78032	31.7027	0	69.78032	31.7027	0	67.3851	31.7027	0	44.34981	31.7027	0	58.46176	0	0	45.81465	0	0	24.6281856229499	24.8289474086022	24.6782905448029	24.6415750179771	24.5915965831093	4502.42195841787	8.4123707439555	4897.94323841787	8.49657064871852	8062.19	9.8497762494717	0.148691578724872
2007	Musiri	NA	922.81382035718	462.8771943002	381.7208220002	563.5456607602	447.7337117602	26	4	12	1	10	1	18	2	17	2	363.87966	225.60422	113.38832	116.12444	45.62946	29.09413	88.48226	29.09413	29.09413	209.50819	124.7747	29.09413	197.85448	124.7747	29.09413	157.69645	45.62946	29.09413	109.6165	29.09413	29.09413	175.10006	124.7747	53.65891	151.6749	91.08294	29.09413	24.5792928541987	24.5809946424731	24.3241698566308	24.3038274731183	24.1925289964158	4378.61648119749	8.38448808159974	4784.77164119749	8.47319357886056	8068.78	8.74367052378662	0.131993878957575
2008	Musiri	NA	970.0127855087	439.485024018	373.945401118	552.932390058	445.408231858	24	5	12	2	11	2	16	3	13	3	348.48702	154.96251	54.70034	167.33434	48.64523	27.38567	153.77575	48.64523	27.38567	215.89203	87.03027	27.38567	176.37446	87.03027	27.38567	177.34795	92.6519	27.38567	153.77575	78.26923	27.38567	182.1921	71.21726	27.38567	130.07931	71.21726	27.38567	24.4713028380299	24.6919348924731	24.4908661899642	24.464614561828	24.3423270501792	5013.54017926321	8.51989756714613	5430.32921926321	8.59975504078864	8068.78	8.31822025497171	0.125571309496425
2009	Musiri	NA	843.72555599768	448.30146833	379.73469584	442.202060619	327.837173979	18	6	9	2	8	2	9	2	8	2	274.9207	208.29848	51.77318	136.75977	85.18211	51.77318	136.75977	85.18211	51.77318	152.62285	101.04519	51.77318	138.23791	101.04519	51.77318	147.40676	113.2471	51.77318	136.75977	99.56705	51.77318	141.23409	69.4708	51.77318	114.72524	69.4708	51.77318	24.8717346133513	25.0062005510753	24.7941018458781	24.7452763844086	24.7916333512545	5076.362649529	8.53235027023992	5503.785569529	8.61319141982973	8068.78	9.56327557301368	0.144366583231642
2010	Musiri	NA	1054.61791197847	452.66811015	347.17873795	493.63858562	378.35051532	28	9	8	2	6	2	12	3	10	2	389.84542	275.92192	76.61162	97.85111	62.1953	25.9891	71.0355	46.64639	25.9891	152.26679	88.92929	51.81316	118.68388	68.272	51.81316	118.92954	62.1953	25.9891	81.86734	46.64639	25.9891	129.58046	88.92929	51.81316	95.99755	51.81316	51.81316	25.0092781963006	24.9502527284946	24.6794537491039	24.6781324892473	24.5673814910394	5356.02817172087	8.58597796664056	5794.08497172087	8.66459284368963	8068.78	7.65090361955157	0.115497541167392
2011	Musiri	NA	1196.76223269318	670.79357368348	479.67159704348	611.51440565348	461.99853345348	33	9	18	4	12	3	14	4	10	4	520.19336	321.1904	110.2144	252.54066	147.13771	54.25657	172.18233	119.91709	27.03595	210.6786	158.41336	27.03595	179.47128	140.65986	27.03595	283.97132	177.45405	54.25657	193.53989	134.92327	27.03595	210.6786	142.53219	27.03595	155.66604	108.57541	27.03595	24.5471279895033	24.7837112822581	24.6089611541219	24.6914681236559	24.6790756702509	5992.92330470949	8.69833460289749	6440.90914470949	8.77042498067338	8068.78	6.74217466057741	0.101779428174711
2012	Musiri	NA	995.104041117458	644.18632950905	393.84756760905	501.66040860405	360.26202070405	21	6	14	4	6	2	7	3	5	3	390.56723	290.40379	163.65176	235.63546	190.28802	81.72507	80.80106	58.29109	0	119.9101	97.40013	39.10904	97.40013	97.40013	39.10904	257.09989	190.28802	81.72507	91.35668	58.29109	0	97.40013	81.91842	39.10904	97.40013	81.91842	39.10904	24.9471218436225	25.2377888602151	24.9780920358423	24.8655605591398	24.7730237562724	4745.91977615894	8.46504053338865	5203.83465615894	8.55715106667548	8068.78	8.10847877870048	0.122405065874137
2013	Musiri	NA	771.2685786731	439.45733538	344.13855308	462.189846023	367.487405923	14	4	7	2	6	1	10	3	9	3	175.35576	124.59935	0	102.25785	64.63923	0	78.63346	41.01484	0	132.83037	82.07396	0	121.66311	82.07396	0	113.26804	64.63923	23.62439	89.64365	41.01484	0	121.66311	82.07396	0	121.66311	82.07396	0	24.9127596628264	24.5124905430108	24.4602061684588	24.530656077957	24.639851437276	4766.99820433476	8.46947207851811	5234.84212433476	8.56309196512969	8068.78	10.4616993653257	0.157929130101681
2014	Musiri	NA	910.137876884624	418.987889977	355.798113307	611.317735007	516.5341915	23	8	8	4	7	3	17	6	17	6	369.07265	284.76104	77.38962	144.55821	144.55821	50.47031	119.03907	119.03907	24.95117	269.64009	222.54553	51.87048	269.64009	222.54553	51.87048	154.68579	144.55821	50.47031	119.03907	119.03907	24.95117	235.76608	206.74391	51.87048	235.76608	173.37921	51.87048	25.0737466627624	25.3464269919355	24.939177655914	24.9024536451613	24.879166688172	5084.50204213859	8.53395237687111	5562.27500213859	8.62376247660267	8068.78	8.86544797763961	0.133832223444585
2015	Musiri	NA	1039.78442657618	390.946026964	264.754774264	389.9738211375	350.5310623975	29	5	9	2	7	2	11	3	11	3	441.24208	253.60804	103.70149	137.60876	97.37542	0	111.28483	97.37542	0	185.83206	144.40051	29.14718	185.83206	144.40051	29.14718	148.01996	111.28483	23.43148	111.28483	97.37542	23.43148	185.83206	128.94592	29.14718	173.31337	128.94592	29.14718	25.0621156114951	25.6582202069892	25.6588112759857	25.5312792634409	25.497950953405	5410.61091590678	8.59611728892297	5898.31291590678	8.68242164254685	8068.78	7.76005082762108	0.117145220289254
