Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1990	Tikarapara	NA	1639.14997671912	1206.1005659	941.7909861	1156.35610376	807.72603076	57	20	43	17	32	14	40	17	27	11	517.04013	145.64358	0	447.19323	145.64358	0	382.9552	108.5406	0	452.8021	108.5406	0	298.3557	108.5406	0	334.12717	145.64358	0	269.88914	108.5406	0	295.43898	108.5406	0	211.16346	108.5406	0	25.6528831942232	27.6330447419355	27.0761949892473	26.6467538981855	26.691907563172	1075.12518271402	6.98019238281839	1547.65638271402	7.34449705451863	12313.51	7.51213139425253	0.06036264679994
1991	Tikarapara	195.499886620743	1247.64724228878	1135.52682528	1010.11052768	1051.96187977978	636.64674317978	34	18	34	18	31	18	31	18	18	9	518.58116	353.6434	115.55314	518.58116	353.6434	115.55314	518.58116	353.6434	115.55314	518.58116	353.6434	115.55314	260.31972	189.83322	67.00476	433.2007	291.17197	67.00476	409.1389	291.17197	67.00476	433.2007	291.17197	67.00476	217.23785	189.83322	67.00476	25.9678597092068	27.9917596048387	27.1328874731183	26.7253363860887	26.3649392674731	1081.72607383482	6.98631326084312	1561.21037383482	7.35321668006713	12360.18	9.90679062242428	0.0796045851540722
1992	Tikarapara	205.00385928835	1248.58754780337	1184.68889299	1032.67835189	1050.88052901519	623.78221601519	43	17	43	17	38	14	38	14	23	7	488.75819	396.05498	152.23928	488.75819	396.05498	152.23928	454.29931	361.5961	152.23928	454.29931	361.5961	152.23928	215.57388	167.83378	61.97382	421.74304	305.14986	152.23928	387.28416	270.69098	152.23928	387.28416	270.69098	152.23928	193.52184	167.83378	61.97382	25.936844580819	28.4099372150538	27.2978283978495	26.9983302046371	26.5515023158602	1132.87961907849	7.03251800567303	1619.31701907849	7.38975974616962	12923.56	10.3505437185693	0.0831702990644376
1993	Tikarapara	179.291508424786	1268.4421409291	1152.781875444	967.570423644	1032.4744961056	682.8136863056	46	16	44	16	38	15	40	15	28	9	455.13824	292.30501	50.49701	455.13824	292.30501	50.49701	429.73169	292.30501	50.49701	429.73169	292.30501	50.49701	241.66416	150.67211	50.49701	392.46191	204.36843	0	342.92779	204.36843	0	367.05536	204.36843	0	199.84301	120.44048	50.49701	25.8601180924787	28.0742952123656	27.252055172043	27.0218146602823	26.7044224502688	1181.4788480025	7.07452219380272	1674.8693480025	7.42349044002438	12975.89	10.2297846951817	0.0821999573738987
1994	Tikarapara	547.043753851624	1814.52609337928	1697.84824835	1277.7494961	1343.74922145	806.17384515	59	31	58	31	45	22	46	22	29	12	1012.0466	694.36925	215.83518	1012.0466	694.36925	215.83518	693.22849	447.6824	154.08575	693.22849	447.6824	154.08575	365.89347	194.07792	51.82704	901.27599	572.54782	115.48321	554.46386	388.2578	53.73378	628.27228	388.2578	105.56082	322.54047	164.15421	51.82704	25.7004779995365	27.2689278709677	26.4315020501792	26.2609421626344	26.2011481523298	1278.11266750618	7.1531397902897	1778.45626750618	7.48350100154791	12978.57	7.15259485512792	0.0574736428696498
1995	Tikarapara	196.341121164268	1279.33744030392	992.14881025	899.7864236	962.5791644757	539.6424873757	39	14	33	13	30	13	30	13	13	5	398.46131	257.29965	54.97045	370.98962	257.29965	54.97045	370.98962	257.29965	54.97045	370.98962	257.29965	54.97045	136.01192	68.09385	0	282.82804	228.36401	54.97045	282.82804	161.68002	54.97045	282.82804	228.36401	54.97045	93.62224	68.09385	0	25.7323702202737	28.7026121370968	27.4393860716846	27.0692710381384	26.8875640723566	1320.55464972281	7.18580711650961	1827.85134972281	7.51089643017518	12982.34	10.1477058288202	0.0815404244983543
1996	Tikarapara	142.24886452819	1046.2806166724	953.94571353436	778.730213392	819.539412012	524.228231012	31	10	31	10	26	7	26	7	15	4	276.28444	153.25514	0	276.28444	153.25514	0	187.91173	118.31334	0	187.91173	118.31334	0	91.83598	47.68144	0	232.1299	124.69915	0	143.75719	89.75735	0	143.75719	89.75735	0	47.68144	47.68144	0	26.1774486354109	28.3292726908602	27.4368244767025	27.0625648419019	26.8306009719982	1384.95030851839	7.23341953965172	1899.20010851839	7.5491880809944	12986.7	12.4122532646194	0.0997368683376409
1997	Tikarapara	238.288723420209	1357.25297797388	1144.6446641182	994.5560634	1021.85825872	741.43834162	45	15	41	15	37	13	37	13	24	12	473.1908	303.18443	53.27961	473.1908	303.18443	53.27961	424.91464	303.18443	53.27961	424.91464	303.18443	53.27961	388.1077	266.37749	53.27961	385.6944	272.6076	53.27961	358.69325	239.20845	53.27961	358.69325	272.6076	53.27961	321.88631	235.80066	53.27961	25.9848271365456	28.4534980833333	27.3550785555556	26.9884025104167	26.7008188310932	1465.61292913916	7.29002881561892	1986.81582913916	7.59428855035424	13112.28	9.6608960988055	0.0776287352254359
1998	Tikarapara	207.092287914115	1215.06969842833	916.020727841	770.756915	866.44119995497	580.06340395497	38	5	32	5	25	5	27	5	15	4	120.91521	69.79467	0	120.91521	69.79467	0	120.91521	69.79467	0	120.91521	69.79467	0	120.91521	69.79467	0	96.99709	37.57831	0	96.99709	37.57831	0	120.91521	69.79467	0	120.91521	69.79467	0	26.316052203618	29.0722252768817	27.8750500358423	27.6926222143817	27.5751013396057	1526.3787700068	7.33065339205878	2054.5347700068	7.62780471200932	13125.74	10.8024585066831	0.0868015950717808
1999	Tikarapara	192.579772058077	1232.87052430716	1066.7879031566	867.5670892	947.06182719	677.62663699	38	11	36	11	27	10	28	10	20	7	320.59314	115.20821	0	320.59314	115.20821	0	293.77526	115.20821	0	293.77526	115.20821	0	198.71343	48.46021	0	275.58937	82.79928	0	248.77149	82.79928	0	248.77149	115.20821	0	177.30543	48.46021	0	26.0943161106623	27.7644507392473	27.0159752078853	26.812165077789	26.6026363402778	1558.49593678397	7.35147649207148	2093.60503678397	7.64664275701356	13131.28	10.6509805702261	0.0855844159921742
