Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1980	Ghatsila	NA	1370.09802082259	1108.5864857467	769.10836282	835.27080717249	507.61533437249	51	12	45	12	30	6	33	6	18	4	348.44375	128.35091	0	348.44375	128.35091	0	180.39737	30.85304	0	180.39737	30.85304	0	96.3195	30.85304	0	247.12843	69.2441	0	99.09005	30.85304	0	99.09005	30.85304	0	54.14333	0	0	26.3732906668057	28.6050606505376	28.3018832007168	27.8931430255376	27.7491230663082	499.21376582027	6.21303439243677	831.39456582027	6.72310449061756	1781.57	1.30032302282312	0.0917270755377481
1981	Ghatsila	NA	1503.12397738819	1065.511582047	826.998277	852.4705592491	544.8044292491	54	13	40	11	34	8	34	8	20	6	458.53694	325.99312	109.76635	402.78183	297.3477	109.76635	269.17957	187.58135	0	269.17957	187.58135	0	190.35405	128.58978	0	321.18361	151.37553	0	187.58135	72.55878	0	187.58135	72.55878	0	128.58978	41.60918	0	25.4593713937921	28.6060135456989	28.1855459498208	27.7415637592406	27.6317401736111	553.034550110629	6.31542047716676	899.516820110629	6.80185775261612	1813.95	1.20678668379164	0.0851288574909456
1982	Ghatsila	NA	1121.29909294814	867.8313356	653.3367526	675.2685618	483.01717736	42	8	33	8	24	7	25	7	20	6	214.33396	82.78236	0	214.33396	82.78236	0	188.18364	82.78236	0	188.18364	82.78236	0	141.78265	36.38137	0	132.74926	82.78236	0	106.59894	82.78236	0	106.59894	82.78236	0	60.19795	36.38137	0	26.1952134175031	29.1610114973118	28.7810601075269	28.3355157056452	27.7863267473118	606.855334400988	6.40829043382598	967.639074400988	6.87485916072434	1813.95	1.61772181160936	0.11411694494987
1983	Ghatsila	NA	1209.21629640099	854.936107188	745.524372243	874.816001663	673.74587432	41	12	30	10	27	9	32	11	24	10	299.60812	94.96408	0	253.95903	94.96408	0	230.85977	94.96408	0	276.50886	94.96408	0	254.92162	94.96408	0	190.93047	39.2206	0	145.65573	39.2206	0	192.07136	39.2206	0	192.07136	39.2206	0	25.7847060839301	29.1991260376344	28.323036827957	27.7577545740927	27.3390006149194	660.676118691347	6.49326373291769	1035.76132869135	6.94289201856735	1821.51	1.50635581526762	0.106260991483325
1984	Ghatsila	NA	1530.39428259939	1377.083806416	917.226833816	962.199934963	635.857534963	56	20	50	20	36	11	38	11	24	9	680.36262	531.60341	56.17135	680.36262	531.60341	56.17135	358.68706	281.45409	0	358.68706	281.45409	0	287.65507	210.4221	0	658.48788	441.82341	0	358.68706	222.49113	0	358.68706	222.49113	0	287.65507	151.45914	0	25.4408375826072	27.6360048790323	27.3488538387097	27.0548560040323	26.8801323064516	714.496902981706	6.57157866283527	1103.88358298171	7.00658977107905	1877.73	1.2269583213619	0.0865518003218046
1985	Ghatsila	NA	1452.89268933531	1152.3704819	963.819198	1141.409191886	851.195846886	41	19	38	16	30	16	33	19	24	15	590.65723	334.61674	73.33563	459.96595	230.93486	0	459.96595	230.93486	0	590.65723	334.61674	73.33563	481.17462	290.53744	73.33563	351.94698	201.01416	0	329.63821	201.01416	0	526.51041	274.34979	73.33563	438.30328	230.27049	73.33563	25.8567966357314	28.3900146129032	27.5848831505376	27.0492018160282	26.9045369375	768.317687272065	6.64420330291807	1172.00583727207	7.06647195073212	1937.26	1.33338133932402	0.0940590673902388
1986	Ghatsila	NA	1380.499650245	960.093228659	808.8853111	960.30714234	650.12815634	44	13	31	10	24	10	32	11	23	8	400.47884	172.93528	0	331.42848	172.93528	0	331.42848	172.93528	0	353.36621	172.93528	0	225.5709	133.64076	0	272.1044	145.13812	0	272.1044	145.13812	0	294.04213	145.13812	0	205.5158	105.8436	0	25.6122976658012	28.4282793010753	27.6737098458781	27.0380446500336	26.8710871677867	775.8097619501	6.65390733800236	1193.7993819501	7.08489625801796	2158.31	1.5634266909209	0.110286871537874
1987	Ghatsila	NA	1197.0610207163	1018.2974024447	920.7092283847	938.5957338907	527.9288413807	37	12	33	12	32	12	32	12	19	5	405.75496	289.45639	0	405.75496	289.45639	0	405.75496	289.45639	0	405.75496	289.45639	0	158.71087	137.17217	0	364.3144	261.42437	0	364.3144	261.42437	0	364.3144	261.42437	0	137.17217	109.14015	0	25.8190894366622	28.830120688172	27.9170216953405	27.6088129121304	27.4042454957437	775.918342742535	6.65404728622175	1208.20943274253	7.09689473494327	2167.2	1.81043402340775	0.127711203682827
1988	Ghatsila	NA	1290.99047412525	1088.296161213	657.050595283	707.5847709515	439.9318409515	38	9	34	9	24	2	26	2	14	1	361.68946	337.14206	128.0478	361.68946	337.14206	128.0478	57.99428	33.44688	0	57.99428	33.44688	0	24.5474	0	0	361.68946	246.91492	128.0478	57.99428	33.44688	0	57.99428	33.44688	0	24.5474	0	0	26.0108633299422	28.7599748655914	28.5310539318996	28.0180045114247	27.9118324668459	984.1491574353	6.8917774683242	1430.7417174353	7.26594827230534	2168.54	1.67974903259404	0.118492454330844
1989	Ghatsila	NA	1362.05620003992	1162.8758678	826.5174067	872.257827592	605.009887392	40	14	36	13	28	7	28	7	20	5	532.99114	409.52473	140.12882	459.9043	336.43789	67.04198	235.32814	186.67762	0	235.32814	186.67762	0	169.61372	120.9632	0	459.9043	277.61981	67.04198	235.32814	159.12487	0	235.32814	159.12487	0	169.61372	120.9632	0	25.887711312082	28.3583881532258	28.0353133154122	27.7111283459341	27.5021010203853	1002.47216615875	6.91022439436511	1463.36619615875	7.28849467466062	2845.54	2.0891502126833	0.147372334416147
